"year","mean flow [cms]","site_no"
1997,6.39277244599209,"03382100"
1998,3.7538906217146,"03382100"
1999,5.08812611632597,"03382100"
2000,3.37748024535909,"03382100"
2001,2.14474121808393,"03382100"
2002,9.51143008941214,"03382100"
2003,4.92269832403614,"03382100"
2004,2.24582688023932,"03382100"
2005,4.20177468960992,"03382100"
2006,6.71197390273201,"03382100"
2007,5.90957222794896,"03382100"
2008,12.6179673997745,"03382100"
2009,6.14588368103367,"03382100"
2010,6.37887934777921,"03382100"
2011,9.55556945856682,"03382100"
2012,4.61572642126442,"03382100"
2013,4.20340542963915,"03382100"
2014,6.33355842911714,"03382100"
2015,6.81774159084107,"03382100"
2016,8.33572368135112,"03382100"
2017,5.80216449016255,"03382100"
2018,5.32576884909201,"03382100"
2019,7.66308401758319,"03382100"
2020,6.58127300140971,"03382100"
2021,5.20401571935482,"03382100"
1979,2.56708432339681,"03384450"
1980,1.30973870911476,"03384450"
1981,1.23249351054881,"03384450"
1982,1.29972468606414,"03384450"
1983,3.21938809312962,"03384450"
1984,1.82842287141892,"03384450"
1985,3.20102093319048,"03384450"
1986,1.67014705096294,"03384450"
1987,0.571354884748972,"03384450"
1988,0.951083413009979,"03384450"
1989,1.98525691735358,"03384450"
1990,1.88594391860855,"03384450"
1991,1.6926407124318,"03384450"
1992,0.838908469805012,"03384450"
1993,1.89657243354693,"03384450"
1994,1.82236677998079,"03384450"
1995,1.93433469373858,"03384450"
1996,1.54295424422794,"03384450"
1997,2.49501135505444,"03384450"
1998,1.1083043562199,"03384450"
1999,1.36613738834882,"03384450"
2000,0.977885385466365,"03384450"
2001,0.858483052103299,"03384450"
2002,3.39152426269478,"03384450"
2003,2.73768517682598,"03384450"
2004,0.987733613264914,"03384450"
2005,1.76334283508832,"03384450"
2006,1.13759250920923,"03384450"
2007,1.86414305012071,"03384450"
2008,2.60335592493576,"03384450"
2009,1.4275430515523,"03384450"
2010,1.60420836492843,"03384450"
2011,2.58705662183284,"03384450"
2012,1.29779534415866,"03384450"
2013,1.31809572502333,"03384450"
2014,1.67349774848256,"03384450"
2015,1.85104127199813,"03384450"
2016,2.45213932322106,"03384450"
2017,1.31487924159745,"03384450"
2018,1.80706171846953,"03384450"
2019,2.51495727615413,"03384450"
2020,1.76684069372599,"03384450"
2021,1.55667485322956,"03384450"
1979,13.8754384862947,"03612000"
1980,5.137705255462,"03612000"
1981,5.47641359606175,"03612000"
1982,8.31858089671397,"03612000"
1983,17.0309778523549,"03612000"
1984,9.23255876146114,"03612000"
1985,16.5534301423294,"03612000"
1986,7.94405064958169,"03612000"
1987,2.88298690454007,"03612000"
1988,4.55561611519047,"03612000"
1989,9.90327540633824,"03612000"
1990,8.95562848058815,"03612000"
1991,10.0041904403641,"03612000"
1992,4.4097905458664,"03612000"
1993,8.20295972187261,"03612000"
1994,8.10217657452844,"03612000"
1995,8.95537556848085,"03612000"
1996,6.64146441871167,"03612000"
1997,10.1423688926032,"03612000"
1998,6.02689929590092,"03612000"
1999,7.08668170907499,"03612000"
2000,5.17701074032725,"03612000"
2001,2.65447228175687,"03612000"
2002,16.4734587133602,"03612000"
2003,10.8618130687821,"03612000"
2004,6.29811182491088,"03612000"
2005,8.4223795942454,"03612000"
2006,8.98982592135339,"03612000"
2007,10.5912700395557,"03612000"
2008,17.4468449508443,"03612000"
2009,8.13665252893331,"03612000"
2010,8.75786828037337,"03612000"
2011,14.031072528761,"03612000"
2012,6.69497784255818,"03612000"
2013,5.81892718750118,"03612000"
2014,9.71015528990787,"03612000"
2015,11.7952969165238,"03612000"
2016,16.255070124041,"03612000"
2017,9.05954975515317,"03612000"
2018,12.1113905023993,"03612000"
2019,17.1724441619888,"03612000"
2020,12.6428292959677,"03612000"
2021,10.3798549129592,"03612000"
1979,30.2066273568818,"05435500"
1980,23.3619398331877,"05435500"
1981,23.9214511690505,"05435500"
1982,38.68670825009,"05435500"
1983,34.9772013757933,"05435500"
1984,27.6976668017688,"05435500"
1985,36.1050652456778,"05435500"
1986,40.8840179478984,"05435500"
1987,30.6304490875998,"05435500"
1988,24.1766294295325,"05435500"
1989,15.4867548104332,"05435500"
1990,22.9923482865539,"05435500"
1991,24.2848377673817,"05435500"
1992,29.0093712097867,"05435500"
1993,69.4236752282767,"05435500"
1994,32.1371380556165,"05435500"
1995,24.8191339891381,"05435500"
1996,33.2380202675092,"05435500"
1997,31.3255694806501,"05435500"
1998,34.7121091455419,"05435500"
1999,39.9151163196836,"05435500"
2000,31.9972627122784,"05435500"
2001,32.3128576639043,"05435500"
2002,31.5989628138096,"05435500"
2003,17.1173396788629,"05435500"
2004,29.3876254772634,"05435500"
2005,22.7281094407136,"05435500"
2006,19.0836925228643,"05435500"
2007,35.159437737766,"05435500"
2008,64.5666649843829,"05435500"
2009,43.0395118095623,"05435500"
2010,59.2399287288872,"05435500"
2011,39.4673998254544,"05435500"
2012,22.4410233787441,"05435500"
2013,37.6516305398136,"05435500"
2014,27.3906139610181,"05435500"
2015,25.1603325927804,"05435500"
